LEBL
EGGP
553967
583
0,41.293,2.101,0.0
300,41.285,2.083,106.0
308,41.283,2.077,220.0
324,41.276,2.069,396.0
339,41.266,2.066,487.0
359,41.247,2.055,701.0
368,41.237,2.049,838.0
380,41.228,2.042,1005.0
400,41.199,2.022,1516.0
410,41.189,2.014,1684.0
426,41.178,1.997,1950.0
437,41.175,1.986,2080.0
456,41.176,1.96,2529.0
465,41.179,1.951,2735.0
475,41.192,1.928,3093.0
484,41.199,1.92,3200.0
496,41.209,1.912,3291.0
506,41.218,1.904,3413.0
514,41.226,1.898,3535.0
525,41.251,1.88,3931.0
537,41.261,1.872,4076.0
547,41.272,1.864,4229.0
562,41.289,1.85,4518.0
573,41.309,1.834,4884.0
583,41.318,1.827,5013.0
592,41.328,1.819,5143.0
612,41.349,1.802,5410.0
623,41.366,1.787,5638.0
636,41.378,1.777,5791.0
652,41.401,1.758,6088.0
663,41.417,1.745,6309.0
672,41.427,1.736,6446.0
683,41.437,1.728,6560.0
694,41.453,1.715,6743.0
703,41.467,1.704,6873.0
714,41.484,1.693,7010.0
724,41.502,1.687,7185.0
732,41.512,1.683,7269.0
743,41.524,1.679,7368.0
753,41.546,1.671,7528.0
764,41.562,1.665,7642.0
774,41.572,1.662,7711.0
789,41.608,1.649,7978.0
801,41.621,1.644,8077.0
809,41.631,1.64,8161.0
819,41.644,1.635,8267.0
829,41.674,1.625,8519.0
839,41.687,1.62,8580.0
850,41.7,1.615,8641.0
858,41.711,1.611,8709.0
870,41.735,1.602,8869.0
880,41.748,1.598,8945.0
890,41.765,1.591,9014.0
899,41.782,1.585,9090.0
908,41.796,1.58,9159.0
922,41.835,1.566,9380.0
940,41.859,1.557,9464.0
951,41.874,1.552,9494.0
962,41.896,1.543,9525.0
977,41.919,1.535,9578.0
991,41.956,1.521,9707.0
1002,41.971,1.516,9738.0
1017,41.998,1.506,9753.0
1033,42.024,1.496,9761.0
1047,42.067,1.481,9761.0
1058,42.081,1.475,9761.0
1072,42.101,1.468,9761.0
1082,42.12,1.461,9761.0
1103,42.169,1.443,9761.0
1119,42.192,1.434,9761.0
1128,42.202,1.431,9761.0
1139,42.219,1.424,9761.0
1149,42.237,1.418,9753.0
1157,42.26,1.408,9761.0
1170,42.278,1.398,9761.0
1180,42.292,1.39,9761.0
1189,42.321,1.374,9761.0
1199,42.335,1.366,9761.0
1207,42.345,1.36,9761.0
1218,42.363,1.35,9761.0
1230,42.392,1.334,9761.0
1241,42.407,1.326,9761.0
1250,42.421,1.318,9761.0
1260,42.439,1.308,9761.0
1274,42.464,1.294,9761.0
1290,42.5,1.274,9822.0
1300,42.511,1.268,9867.0
1308,42.524,1.261,9928.0
1320,42.546,1.248,10035.0
1336,42.583,1.228,10271.0
1352,42.607,1.215,10393.0
1367,42.635,1.199,10500.0
1387,42.678,1.174,10652.0
1401,42.696,1.165,10668.0
1418,42.719,1.152,10690.0
1428,42.75,1.134,10789.0
1442,42.772,1.122,10850.0
1461,42.8,1.106,10927.0
1476,42.832,1.088,11033.0
1496,42.86,1.072,11140.0
1508,42.883,1.059,11239.0
1518,42.901,1.049,11308.0
1528,42.925,1.035,11384.0
1540,42.94,1.027,11422.0
1549,42.971,1.009,11521.0
1563,42.988,1.0,11567.0
1573,43.0,0.993,11574.0
1588,43.038,0.971,11590.0
1600,43.055,0.962,11590.0
1609,43.067,0.955,11590.0
1623,43.09,0.942,11590.0
1635,43.109,0.931,11590.0
1645,43.136,0.916,11582.0
1656,43.151,0.907,11582.0
1662,43.158,0.903,11590.0
1679,43.196,0.881,11590.0
1689,43.211,0.873,11590.0
1698,43.222,0.867,11590.0
1710,43.247,0.852,11590.0
1720,43.257,0.846,11590.0
1736,43.295,0.825,11582.0
1746,43.31,0.816,11582.0
1757,43.32,0.81,11582.0
1776,43.36,0.787,11582.0
1792,43.378,0.777,11582.0
1804,43.415,0.756,11582.0
1818,43.429,0.748,11582.0
1827,43.443,0.74,11582.0
1846,43.476,0.72,11582.0
1857,43.499,0.707,11582.0
1873,43.528,0.691,11590.0
1886,43.551,0.677,11582.0
1898,43.568,0.667,11590.0
1908,43.598,0.65,11590.0
1918,43.609,0.644,11590.0
1934,43.631,0.631,11590.0
1942,43.655,0.617,11590.0
1955,43.67,0.609,11590.0
1966,43.688,0.598,11590.0
1979,43.724,0.577,11590.0
1988,43.733,0.572,11597.0
2005,43.76,0.556,11597.0
2015,43.775,0.547,11597.0
2024,43.79,0.538,11590.0
2034,43.809,0.527,11590.0
2048,43.837,0.511,11590.0
2057,43.845,0.506,11590.0
